Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,ASIN

https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNTkxMDc5OTcxNjY3Mzk4OjE3MjgxMTQ2ODQ6c3BfYXRmOjMwMDI1MTU1Mjk5MjkzMjo6MDo6&url=%2FLavie-Sport-Backpack-Business-Compatible%2Fdp%2FB0CWR4ZC1T%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.bKQC-Y_oLtKW5m2ymOhcFQ9AtL6LRq4ugtNPDI6d6Nqeu3W_KnAJNuV_SLk7ny_d4wc-bchaO_RD_glBdlvj_j8uxhJ9Ieg9pMz5mwKWWm6VdgsMh4_emlUi_EGsLlQ6VgaxvpqyQLMRydzZpDI19n7JHe9eTWiT5usvsXOf_ZGTianLDJeIhuhVBUvH_xvgRoEV6gKZdY4au3AYRmu47UmZoAkw5_qYOcVXQVGJfgU.e9bDEehyEVGnPw7wJXmeQj_mKrdxkJ4OlePz284LZd0%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1728114684%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Lavie Sport 47cm Osprey 28 Litres Laptop Backpack For Men & Women | Business Laptop Bag | Upto 15.6"" Notebook/Macbook Compatible  ",₹739,3.9 out of 5 stars,146,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",B0CWR4ZC1T

https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNTkxMDc5OTcxNjY3Mzk4OjE3MjgxMTQ2ODQ6c3BfYXRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.bKQC-Y_oLtKW5m2ymOhcFQ9AtL6LRq4ugtNPDI6d6Nqeu3W_KnAJNuV_SLk7ny_d4wc-bchaO_RD_glBdlvj_j8uxhJ9Ieg9pMz5mwKWWm6VdgsMh4_emlUi_EGsLlQ6VgaxvpqyQLMRydzZpDI19n7JHe9eTWiT5usvsXOf_ZGTianLDJeIhuhVBUvH_xvgRoEV6gKZdY4au3AYRmu47UmZoAkw5_qYOcVXQVGJfgU.e9bDEehyEVGnPw7wJXmeQj_mKrdxkJ4OlePz284LZd0%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1728114684%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L  ","₹1,105",4.2 out of 5 stars,"2,453","Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India – 400059 Mobile: +91 8767008844",B078JVT384

https://www.amazon.in//MEDLER-Aquiver-litres-Waterproof-Strolley/dp/B09V8BDX1N/ref=sr_1_3?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.bKQC-Y_oLtKW5m2ymOhcFQ9AtL6LRq4ugtNPDI6d6Nqeu3W_KnAJNuV_SLk7ny_d4wc-bchaO_RD_glBdlvj_j8uxhJ9Ieg9pMz5mwKWWm6VdgsMh4_emlUi_EGsLlQ6VgaxvpqyQLMRydzZpDI19n7JHe9eTWiT5usvsXOf_ZGTianLDJeIhuhVBUvH_xvgRoEV6gKZdY4au3AYRmu47UmZoAkw5_qYOcVXQVGJfgU.e9bDEehyEVGnPw7wJXmeQj_mKrdxkJ4OlePz284LZd0&dib_tag=se&keywords=bags&qid=1728114684&sprefix=ba%2Caps%2C283&sr=8-3,M MEDLER Aquiver Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag (Beige)  ,₹398,3.4 out of 5 stars,435,"BREGGABOG INDIA PRIVATE LIMITED, breggabog@gmail.com",B09V8BDX1N

https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_4?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.bKQC-Y_oLtKW5m2ymOhcFQ9AtL6LRq4ugtNPDI6d6Nqeu3W_KnAJNuV_SLk7ny_d4wc-bchaO_RD_glBdlvj_j8uxhJ9Ieg9pMz5mwKWWm6VdgsMh4_emlUi_EGsLlQ6VgaxvpqyQLMRydzZpDI19n7JHe9eTWiT5usvsXOf_ZGTianLDJeIhuhVBUvH_xvgRoEV6gKZdY4au3AYRmu47UmZoAkw5_qYOcVXQVGJfgU.e9bDEehyEVGnPw7wJXmeQj_mKrdxkJ4OlePz284LZd0&dib_tag=se&keywords=bags&qid=1728114684&sprefix=ba%2Caps%2C283&sr=8-4,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",₹539,4.3 out of 5 stars,"15,710","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B09VTDMRY7

https://www.amazon.in//Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_5?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.bKQC-Y_oLtKW5m2ymOhcFQ9AtL6LRq4ugtNPDI6d6Nqeu3W_KnAJNuV_SLk7ny_d4wc-bchaO_RD_glBdlvj_j8uxhJ9Ieg9pMz5mwKWWm6VdgsMh4_emlUi_EGsLlQ6VgaxvpqyQLMRydzZpDI19n7JHe9eTWiT5usvsXOf_ZGTianLDJeIhuhVBUvH_xvgRoEV6gKZdY4au3AYRmu47UmZoAkw5_qYOcVXQVGJfgU.e9bDEehyEVGnPw7wJXmeQj_mKrdxkJ4OlePz284LZd0&dib_tag=se&keywords=bags&qid=1728114684&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed for Men Women | School Bags for Boys Girls with Small Pockets & Laptop Compartment  ,₹539,3.9 out of 5 stars,804,Half_Moon,B0C1NZLF67
